id,question,audio_path,optionA,optionB,optionC,optionD,correct,source_wavs,source_categories
89,Which sound event occurs after snoring sound?,TREA_dataset/order/audios/89.wav,frog,Thunderstorm,Breathing,Siren,A,"['ESC-50-master/audio/3-164592-A-15.wav', 'ESC-50-master/audio/2-126433-A-17.wav', 'ESC-50-master/audio/3-124795-A-28.wav', 'ESC-50-master/audio/3-71964-B-4.wav']","['water_drops', 'pouring_water', 'snoring', 'frog']"
90,Which sound event occurs third?,TREA_dataset/order/audios/90.wav,sheep,Siren,Door knock,Chainsaw,A,"['ESC-50-master/audio/2-144031-A-34.wav', 'ESC-50-master/audio/2-83934-A-5.wav', 'ESC-50-master/audio/4-188703-A-8.wav']","['can_opening', 'cat', 'sheep']"
91,Which sound event occurs second?,TREA_dataset/order/audios/91.wav,Thunderstorm,Fireworks,train,Church bells,C,"['ESC-50-master/audio/4-145081-A-9.wav', 'ESC-50-master/audio/4-165791-B-45.wav', 'ESC-50-master/audio/3-162786-A-13.wav', 'ESC-50-master/audio/5-156026-C-4.wav']","['crow', 'train', 'crickets', 'frog']"
92,Which sound event occurs first?,TREA_dataset/order/audios/92.wav,Cat,Wind,Crackling fire,laughing,D,"['ESC-50-master/audio/4-132816-A-26.wav', 'ESC-50-master/audio/4-174860-A-3.wav', 'ESC-50-master/audio/5-216213-A-13.wav']","['laughing', 'cow', 'crickets']"
93,Which sound event occurs fourth?,TREA_dataset/order/audios/93.wav,coughing,Snoring,Church bells,Laughing,A,"['ESC-50-master/audio/4-183487-A-1.wav', 'ESC-50-master/audio/1-115545-A-48.wav', 'ESC-50-master/audio/3-159347-B-36.wav', 'ESC-50-master/audio/3-145487-A-24.wav']","['rooster', 'fireworks', 'vacuum_cleaner', 'coughing']"
94,Which sound event occurs second?,TREA_dataset/order/audios/94.wav,Laughing,Crow,Rain,can_opening,D,"['ESC-50-master/audio/5-242932-B-26.wav', 'ESC-50-master/audio/5-252248-A-34.wav', 'ESC-50-master/audio/2-96654-A-47.wav']","['laughing', 'can_opening', 'airplane']"
95,Which sound event occurs third?,TREA_dataset/order/audios/95.wav,Chainsaw,brushing_teeth,Thunderstorm,Insects (flying),B,"['ESC-50-master/audio/4-223127-A-14.wav', 'ESC-50-master/audio/1-50625-A-17.wav', 'ESC-50-master/audio/4-144468-A-27.wav']","['chirping_birds', 'pouring_water', 'brushing_teeth']"
96,Which sound event occurs after car_horn sound?,TREA_dataset/order/audios/96.wav,Keyboard typing,Hand saw,footsteps,Rain,C,"['ESC-50-master/audio/2-70052-A-42.wav', 'ESC-50-master/audio/4-176638-A-43.wav', 'ESC-50-master/audio/2-209471-A-25.wav']","['siren', 'car_horn', 'footsteps']"
97,Which sound event occurs first?,TREA_dataset/order/audios/97.wav,Wind,Cat,can_opening,Sea waves,C,"['ESC-50-master/audio/5-244933-A-34.wav', 'ESC-50-master/audio/1-27724-A-1.wav', 'ESC-50-master/audio/1-155858-F-25.wav', 'ESC-50-master/audio/4-189332-A-37.wav']","['can_opening', 'rooster', 'footsteps', 'clock_alarm']"
98,Which sound event occurs first?,TREA_dataset/order/audios/98.wav,Clock tick,drinking_sipping,Laughing,Clapping,B,"['ESC-50-master/audio/1-56270-A-29.wav', 'ESC-50-master/audio/3-144827-A-11.wav']","['drinking_sipping', 'sea_waves']"
99,Which sound event occurs third?,TREA_dataset/order/audios/99.wav,Mouse click,Hen,Airplane,drinking_sipping,D,"['ESC-50-master/audio/3-152007-B-20.wav', 'ESC-50-master/audio/3-162786-A-13.wav', 'ESC-50-master/audio/4-188191-A-29.wav']","['crying_baby', 'crickets', 'drinking_sipping']"
100,Which sound event occurs second?,TREA_dataset/order/audios/100.wav,Fireworks,laughing,Vacuum cleaner,Clock tick,B,"['ESC-50-master/audio/1-160563-B-48.wav', 'ESC-50-master/audio/4-167571-A-26.wav', 'ESC-50-master/audio/1-29532-A-16.wav']","['fireworks', 'laughing', 'wind']"
101,Which sound event occurs first?,TREA_dataset/order/audios/101.wav,Door knock,Wind,can_opening,"Door, wood creaks",C,"['ESC-50-master/audio/1-60676-A-34.wav', 'ESC-50-master/audio/1-58277-A-3.wav', 'ESC-50-master/audio/1-104089-B-22.wav', 'ESC-50-master/audio/2-72547-D-14.wav']","['can_opening', 'cow', 'clapping', 'chirping_birds']"
102,Which sound event occurs second?,TREA_dataset/order/audios/102.wav,Sneezing,Siren,Wind,glass_breaking,D,"['ESC-50-master/audio/2-65750-A-1.wav', 'ESC-50-master/audio/2-250710-A-39.wav']","['rooster', 'glass_breaking']"
103,Which sound event occurs second?,TREA_dataset/order/audios/103.wav,Washing machine,Dog,Vacuum cleaner,siren,D,"['ESC-50-master/audio/1-82817-A-30.wav', 'ESC-50-master/audio/5-133989-B-42.wav']","['door_wood_knock', 'siren']"
104,Which sound event occurs after drinking_sipping sound?,TREA_dataset/order/audios/104.wav,engine,Crow,Sneezing,Airplane,A,"['ESC-50-master/audio/3-133977-A-29.wav', 'ESC-50-master/audio/3-259622-A-44.wav']","['drinking_sipping', 'engine']"
105,Which sound event occurs second?,TREA_dataset/order/audios/105.wav,Rooster,Clapping,airplane,Water drops,C,"['ESC-50-master/audio/1-62850-A-38.wav', 'ESC-50-master/audio/2-160888-A-47.wav']","['clock_tick', 'airplane']"
106,Which sound event occurs after hen sound?,TREA_dataset/order/audios/106.wav,Pouring water,Hen,Clock tick,clock_alarm,D,"['ESC-50-master/audio/3-171281-A-6.wav', 'ESC-50-master/audio/5-223176-A-37.wav', 'ESC-50-master/audio/4-164021-A-1.wav']","['hen', 'clock_alarm', 'rooster']"
107,Which sound event occurs first?,TREA_dataset/order/audios/107.wav,"Door, wood creaks",train,Clapping,Helicopter,B,"['ESC-50-master/audio/5-198600-A-45.wav', 'ESC-50-master/audio/2-65747-A-12.wav', 'ESC-50-master/audio/1-31836-A-4.wav']","['train', 'crackling_fire', 'frog']"
108,Which sound event occurs first?,TREA_dataset/order/audios/108.wav,Airplane,hand_saw,Frog,Mouse click,B,"['ESC-50-master/audio/1-9887-B-49.wav', 'ESC-50-master/audio/5-156999-E-19.wav', 'ESC-50-master/audio/1-24074-A-43.wav', 'ESC-50-master/audio/3-171012-A-38.wav']","['hand_saw', 'thunderstorm', 'car_horn', 'clock_tick']"
109,Which sound event occurs fourth?,TREA_dataset/order/audios/109.wav,Siren,frog,Footsteps,Thunderstorm,B,"['ESC-50-master/audio/5-147297-A-27.wav', 'ESC-50-master/audio/3-58772-A-42.wav', 'ESC-50-master/audio/1-18631-A-23.wav', 'ESC-50-master/audio/4-99193-A-4.wav']","['brushing_teeth', 'siren', 'breathing', 'frog']"
110,Which sound event occurs third?,TREA_dataset/order/audios/110.wav,breathing,Keyboard typing,Chainsaw,Thunderstorm,A,"['ESC-50-master/audio/4-234879-A-6.wav', 'ESC-50-master/audio/2-82071-A-27.wav', 'ESC-50-master/audio/4-205526-A-23.wav']","['hen', 'brushing_teeth', 'breathing']"
111,Which sound event occurs first?,TREA_dataset/order/audios/111.wav,Thunderstorm,church_bells,Crying baby,Chirping birds,B,"['ESC-50-master/audio/3-111102-B-46.wav', 'ESC-50-master/audio/5-191497-A-33.wav']","['church_bells', 'door_wood_creaks']"
112,Which sound event occurs third?,TREA_dataset/order/audios/112.wav,Wind,Coughing,Sheep,drinking_sipping,D,"['ESC-50-master/audio/5-253101-A-49.wav', 'ESC-50-master/audio/3-151089-A-30.wav', 'ESC-50-master/audio/3-145387-A-29.wav', 'ESC-50-master/audio/2-96904-A-27.wav']","['hand_saw', 'door_wood_knock', 'drinking_sipping', 'brushing_teeth']"
113,Which sound event occurs second?,TREA_dataset/order/audios/113.wav,Thunderstorm,snoring,Crying baby,Clock alarm,B,"['ESC-50-master/audio/2-126433-A-17.wav', 'ESC-50-master/audio/4-191297-A-28.wav']","['pouring_water', 'snoring']"
114,Which sound event occurs second?,TREA_dataset/order/audios/114.wav,siren,Pig,Dog,Engine,A,"['ESC-50-master/audio/1-84536-A-39.wav', 'ESC-50-master/audio/4-90014-B-42.wav', 'ESC-50-master/audio/3-146873-A-24.wav', 'ESC-50-master/audio/2-128631-A-21.wav']","['glass_breaking', 'siren', 'coughing', 'sneezing']"
115,Which sound event occurs second?,TREA_dataset/order/audios/115.wav,Brushing teeth,clapping,Clock tick,Coughing,B,"['ESC-50-master/audio/3-162786-A-13.wav', 'ESC-50-master/audio/3-138114-A-22.wav', 'ESC-50-master/audio/5-217186-B-16.wav']","['crickets', 'clapping', 'wind']"
116,Which sound event occurs third?,TREA_dataset/order/audios/116.wav,dog,Water drops,Rooster,Can opening,A,"['ESC-50-master/audio/2-102414-E-17.wav', 'ESC-50-master/audio/1-32373-A-35.wav', 'ESC-50-master/audio/2-122104-B-0.wav', 'ESC-50-master/audio/4-107122-A-33.wav']","['pouring_water', 'washing_machine', 'dog', 'door_wood_creaks']"
117,Which sound event occurs second?,TREA_dataset/order/audios/117.wav,Sea waves,Breathing,Glass breaking,fireworks,D,"['ESC-50-master/audio/4-218199-G-35.wav', 'ESC-50-master/audio/4-119648-D-48.wav', 'ESC-50-master/audio/4-197871-A-15.wav']","['washing_machine', 'fireworks', 'water_drops']"
118,Which sound event occurs after cat sound?,TREA_dataset/order/audios/118.wav,toilet_flush,Door knock,Laughing,"Door, wood creaks",A,"['ESC-50-master/audio/2-83934-A-5.wav', 'ESC-50-master/audio/4-123680-A-18.wav']","['cat', 'toilet_flush']"
119,Which sound event occurs third?,TREA_dataset/order/audios/119.wav,Snoring,siren,Cow,Train,B,"['ESC-50-master/audio/3-166326-A-15.wav', 'ESC-50-master/audio/4-165813-A-19.wav', 'ESC-50-master/audio/5-133989-A-42.wav', 'ESC-50-master/audio/5-211408-A-37.wav']","['water_drops', 'thunderstorm', 'siren', 'clock_alarm']"
120,Which sound event occurs after brushing_teeth sound?,TREA_dataset/order/audios/120.wav,airplane,Dog,Car horn,Frog,A,"['ESC-50-master/audio/3-126391-A-27.wav', 'ESC-50-master/audio/3-143562-A-47.wav', 'ESC-50-master/audio/4-218199-F-35.wav']","['brushing_teeth', 'airplane', 'washing_machine']"
121,Which sound event occurs second?,TREA_dataset/order/audios/121.wav,wind,Crickets,Clock tick,Laughing,A,"['ESC-50-master/audio/1-24524-C-19.wav', 'ESC-50-master/audio/2-109371-C-16.wav', 'ESC-50-master/audio/3-155584-A-14.wav']","['thunderstorm', 'wind', 'chirping_birds']"
122,Which sound event occurs after airplane sound?,TREA_dataset/order/audios/122.wav,Sea waves,can_opening,Fireworks,Sheep,B,"['ESC-50-master/audio/2-74361-A-47.wav', 'ESC-50-master/audio/2-83667-A-34.wav']","['airplane', 'can_opening']"
123,Which sound event occurs second?,TREA_dataset/order/audios/123.wav,"Drinking, sipping",Can opening,Hand saw,door_wood_knock,D,"['ESC-50-master/audio/3-115387-B-47.wav', 'ESC-50-master/audio/5-251426-A-30.wav']","['airplane', 'door_wood_knock']"
124,Which sound event occurs third?,TREA_dataset/order/audios/124.wav,Cow,hen,Vacuum cleaner,Sneezing,B,"['ESC-50-master/audio/3-150363-A-38.wav', 'ESC-50-master/audio/2-84943-A-18.wav', 'ESC-50-master/audio/3-188390-A-6.wav', 'ESC-50-master/audio/2-28314-B-12.wav']","['clock_tick', 'toilet_flush', 'hen', 'crackling_fire']"
125,Which sound event occurs after train sound?,TREA_dataset/order/audios/125.wav,Footsteps,can_opening,Pig,Helicopter,B,"['ESC-50-master/audio/2-114280-A-0.wav', 'ESC-50-master/audio/3-135650-B-45.wav', 'ESC-50-master/audio/1-43764-A-34.wav']","['dog', 'train', 'can_opening']"
126,Which sound event occurs second?,TREA_dataset/order/audios/126.wav,Coughing,Vacuum cleaner,Clapping,toilet_flush,D,"['ESC-50-master/audio/2-102567-A-35.wav', 'ESC-50-master/audio/4-152958-A-18.wav']","['washing_machine', 'toilet_flush']"
127,Which sound event occurs second?,TREA_dataset/order/audios/127.wav,Siren,vacuum_cleaner,Washing machine,Breathing,B,"['ESC-50-master/audio/3-155312-A-0.wav', 'ESC-50-master/audio/4-181999-A-36.wav']","['dog', 'vacuum_cleaner']"
128,Which sound event occurs first?,TREA_dataset/order/audios/128.wav,Laughing,Dog,snoring,Clock tick,C,"['ESC-50-master/audio/1-39937-A-28.wav', 'ESC-50-master/audio/3-141684-A-21.wav', 'ESC-50-master/audio/4-195497-B-11.wav']","['snoring', 'sneezing', 'sea_waves']"
129,Which sound event occurs second?,TREA_dataset/order/audios/129.wav,Rain,footsteps,Cat,Crow,B,"['ESC-50-master/audio/4-99644-D-4.wav', 'ESC-50-master/audio/1-155858-E-25.wav']","['frog', 'footsteps']"
130,Which sound event occurs third?,TREA_dataset/order/audios/130.wav,cow,Crackling fire,Engine,Car horn,A,"['ESC-50-master/audio/2-188822-B-40.wav', 'ESC-50-master/audio/5-179868-A-43.wav', 'ESC-50-master/audio/3-126358-B-3.wav', 'ESC-50-master/audio/1-75162-A-9.wav']","['helicopter', 'car_horn', 'cow', 'crow']"
131,Which sound event occurs second?,TREA_dataset/order/audios/131.wav,Mouse click,Toilet flush,washing_machine,Door knock,C,"['ESC-50-master/audio/4-143118-A-7.wav', 'ESC-50-master/audio/5-245040-A-35.wav']","['insects', 'washing_machine']"
132,Which sound event occurs second?,TREA_dataset/order/audios/132.wav,Crying baby,Snoring,Crow,chirping_birds,D,"['ESC-50-master/audio/4-204115-A-39.wav', 'ESC-50-master/audio/4-187769-B-14.wav', 'ESC-50-master/audio/4-198360-B-49.wav', 'ESC-50-master/audio/3-103401-B-33.wav']","['glass_breaking', 'chirping_birds', 'hand_saw', 'door_wood_creaks']"
133,Which sound event occurs fourth?,TREA_dataset/order/audios/133.wav,Mouse click,glass_breaking,Airplane,Church bells,B,"['ESC-50-master/audio/1-58923-A-27.wav', 'ESC-50-master/audio/5-195557-A-19.wav', 'ESC-50-master/audio/1-60460-A-36.wav', 'ESC-50-master/audio/2-173607-A-39.wav']","['brushing_teeth', 'thunderstorm', 'vacuum_cleaner', 'glass_breaking']"
134,Which sound event occurs first?,TREA_dataset/order/audios/134.wav,Clock alarm,Church bells,crickets,Breathing,C,"['ESC-50-master/audio/2-125821-A-13.wav', 'ESC-50-master/audio/2-205966-A-16.wav', 'ESC-50-master/audio/2-70052-B-42.wav', 'ESC-50-master/audio/5-177614-A-5.wav']","['crickets', 'wind', 'siren', 'cat']"
135,Which sound event occurs after rain sound?,TREA_dataset/order/audios/135.wav,Footsteps,Rain,dog,Clock tick,C,"['ESC-50-master/audio/4-163264-A-10.wav', 'ESC-50-master/audio/4-192236-A-0.wav']","['rain', 'dog']"
136,Which sound event occurs first?,TREA_dataset/order/audios/136.wav,Insects (flying),Helicopter,clock_tick,Pouring water,C,"['ESC-50-master/audio/2-141584-A-38.wav', 'ESC-50-master/audio/3-152594-A-30.wav', 'ESC-50-master/audio/3-108791-A-18.wav', 'ESC-50-master/audio/4-250869-A-2.wav']","['clock_tick', 'door_wood_knock', 'toilet_flush', 'pig']"
137,Which sound event occurs second?,TREA_dataset/order/audios/137.wav,Crackling fire,chirping_birds,Dog,Airplane,B,"['ESC-50-master/audio/3-145577-A-43.wav', 'ESC-50-master/audio/5-243459-A-14.wav']","['car_horn', 'chirping_birds']"
138,Which sound event occurs third?,TREA_dataset/order/audios/138.wav,insects,Helicopter,Clock alarm,Car horn,A,"['ESC-50-master/audio/2-61311-A-12.wav', 'ESC-50-master/audio/2-82071-A-27.wav', 'ESC-50-master/audio/3-104761-B-7.wav', 'ESC-50-master/audio/2-144031-A-34.wav']","['crackling_fire', 'brushing_teeth', 'insects', 'can_opening']"
139,Which sound event occurs second?,TREA_dataset/order/audios/139.wav,Church bells,Insects (flying),"Door, wood creaks",rain,D,"['ESC-50-master/audio/3-126358-B-3.wav', 'ESC-50-master/audio/5-202898-A-10.wav']","['cow', 'rain']"
140,Which sound event occurs third?,TREA_dataset/order/audios/140.wav,Vacuum cleaner,Keyboard typing,snoring,Siren,C,"['ESC-50-master/audio/4-172736-B-36.wav', 'ESC-50-master/audio/3-112356-A-18.wav', 'ESC-50-master/audio/4-183882-A-28.wav', 'ESC-50-master/audio/3-104761-B-7.wav']","['vacuum_cleaner', 'toilet_flush', 'snoring', 'insects']"
141,Which sound event occurs third?,TREA_dataset/order/audios/141.wav,Keyboard typing,snoring,Cat,Can opening,B,"['ESC-50-master/audio/5-252248-A-34.wav', 'ESC-50-master/audio/1-45645-A-31.wav', 'ESC-50-master/audio/4-184235-A-28.wav', 'ESC-50-master/audio/3-95695-A-5.wav']","['can_opening', 'mouse_click', 'snoring', 'cat']"
142,Which sound event occurs after wind sound?,TREA_dataset/order/audios/142.wav,Insects (flying),rooster,Rain,Water drops,B,"['ESC-50-master/audio/5-179496-B-16.wav', 'ESC-50-master/audio/5-233160-A-1.wav', 'ESC-50-master/audio/1-34094-B-5.wav', 'ESC-50-master/audio/3-155578-A-14.wav']","['wind', 'rooster', 'cat', 'chirping_birds']"
143,Which sound event occurs third?,TREA_dataset/order/audios/143.wav,sea_waves,Sneezing,Engine,Church bells,A,"['ESC-50-master/audio/5-103416-A-2.wav', 'ESC-50-master/audio/4-119648-A-48.wav', 'ESC-50-master/audio/3-144827-B-11.wav', 'ESC-50-master/audio/2-120218-A-30.wav']","['pig', 'fireworks', 'sea_waves', 'door_wood_knock']"
144,Which sound event occurs second?,TREA_dataset/order/audios/144.wav,Wind,Door knock,Dog,helicopter,D,"['ESC-50-master/audio/4-172500-C-27.wav', 'ESC-50-master/audio/3-68630-B-40.wav', 'ESC-50-master/audio/4-201300-A-31.wav', 'ESC-50-master/audio/3-95695-B-5.wav']","['brushing_teeth', 'helicopter', 'mouse_click', 'cat']"
145,Which sound event occurs third?,TREA_dataset/order/audios/145.wav,"Drinking, sipping",rain,Pig,Hand saw,B,"['ESC-50-master/audio/3-58772-A-42.wav', 'ESC-50-master/audio/4-200330-B-6.wav', 'ESC-50-master/audio/4-181286-A-10.wav']","['siren', 'hen', 'rain']"
146,Which sound event occurs second?,TREA_dataset/order/audios/146.wav,footsteps,"Drinking, sipping",Mouse click,Crow,A,"['ESC-50-master/audio/5-133989-A-42.wav', 'ESC-50-master/audio/1-155858-C-25.wav', 'ESC-50-master/audio/4-119648-B-48.wav']","['siren', 'footsteps', 'fireworks']"
147,Which sound event occurs second?,TREA_dataset/order/audios/147.wav,Sea waves,Crickets,wind,"Door, wood creaks",C,"['ESC-50-master/audio/3-152007-B-20.wav', 'ESC-50-master/audio/1-69760-A-16.wav']","['crying_baby', 'wind']"
148,Which sound event occurs second?,TREA_dataset/order/audios/148.wav,dog,Door knock,Mouse click,Pouring water,A,"['ESC-50-master/audio/5-216131-A-32.wav', 'ESC-50-master/audio/4-194754-A-0.wav', 'ESC-50-master/audio/4-111671-B-42.wav']","['keyboard_typing', 'dog', 'siren']"
149,Which sound event occurs first?,TREA_dataset/order/audios/149.wav,Cow,crackling_fire,Hen,Clock alarm,B,"['ESC-50-master/audio/3-65748-A-12.wav', 'ESC-50-master/audio/5-191497-A-33.wav']","['crackling_fire', 'door_wood_creaks']"
150,Which sound event occurs second?,TREA_dataset/order/audios/150.wav,Wind,snoring,Rain,Sneezing,B,"['ESC-50-master/audio/1-172649-D-40.wav', 'ESC-50-master/audio/2-52001-A-28.wav', 'ESC-50-master/audio/3-119120-B-48.wav']","['helicopter', 'snoring', 'fireworks']"
151,Which sound event occurs after snoring sound?,TREA_dataset/order/audios/151.wav,Airplane,engine,Can opening,Church bells,B,"['ESC-50-master/audio/4-250864-A-8.wav', 'ESC-50-master/audio/1-56269-A-18.wav', 'ESC-50-master/audio/1-27403-A-28.wav', 'ESC-50-master/audio/5-243773-B-44.wav']","['sheep', 'toilet_flush', 'snoring', 'engine']"
152,Which sound event occurs after train sound?,TREA_dataset/order/audios/152.wav,rain,Siren,Crying baby,Crickets,A,"['ESC-50-master/audio/3-138212-A-45.wav', 'ESC-50-master/audio/5-194892-A-10.wav']","['train', 'rain']"
153,Which sound event occurs second?,TREA_dataset/order/audios/153.wav,Frog,Vacuum cleaner,Helicopter,laughing,D,"['ESC-50-master/audio/1-32373-A-35.wav', 'ESC-50-master/audio/2-79769-A-26.wav']","['washing_machine', 'laughing']"
154,Which sound event occurs after drinking_sipping sound?,TREA_dataset/order/audios/154.wav,Coughing,"Door, wood creaks",insects,Frog,C,"['ESC-50-master/audio/2-102581-B-29.wav', 'ESC-50-master/audio/4-191246-B-7.wav']","['drinking_sipping', 'insects']"
155,Which sound event occurs fourth?,TREA_dataset/order/audios/155.wav,Clapping,pouring_water,Footsteps,Pouring water,B,"['ESC-50-master/audio/4-126046-A-18.wav', 'ESC-50-master/audio/4-181708-A-32.wav', 'ESC-50-master/audio/4-168446-A-45.wav', 'ESC-50-master/audio/2-126433-A-17.wav']","['toilet_flush', 'keyboard_typing', 'train', 'pouring_water']"
156,Which sound event occurs second?,TREA_dataset/order/audios/156.wav,"Drinking, sipping",Water drops,Sneezing,crow,D,"['ESC-50-master/audio/2-102568-A-35.wav', 'ESC-50-master/audio/5-242711-A-9.wav', 'ESC-50-master/audio/5-178997-A-24.wav']","['washing_machine', 'crow', 'coughing']"
157,Which sound event occurs second?,TREA_dataset/order/audios/157.wav,Brushing teeth,Laughing,frog,Washing machine,C,"['ESC-50-master/audio/4-188703-C-8.wav', 'ESC-50-master/audio/3-71964-B-4.wav', 'ESC-50-master/audio/5-205589-A-17.wav', 'ESC-50-master/audio/3-102583-B-49.wav']","['sheep', 'frog', 'pouring_water', 'hand_saw']"
158,Which sound event occurs after toilet_flush sound?,TREA_dataset/order/audios/158.wav,Dog,Laughing,church_bells,Mouse click,C,"['ESC-50-master/audio/3-112356-A-18.wav', 'ESC-50-master/audio/5-201172-A-46.wav']","['toilet_flush', 'church_bells']"
159,Which sound event occurs third?,TREA_dataset/order/audios/159.wav,Clock alarm,Laughing,crow,Crow,C,"['ESC-50-master/audio/5-117122-A-42.wav', 'ESC-50-master/audio/4-204683-A-31.wav', 'ESC-50-master/audio/3-127890-C-9.wav', 'ESC-50-master/audio/3-151255-A-28.wav']","['siren', 'mouse_click', 'crow', 'snoring']"
160,Which sound event occurs first?,TREA_dataset/order/audios/160.wav,Crow,fireworks,Rain,"Door, wood creaks",B,"['ESC-50-master/audio/3-119120-E-48.wav', 'ESC-50-master/audio/2-83667-A-34.wav', 'ESC-50-master/audio/2-98676-A-24.wav', 'ESC-50-master/audio/5-207836-D-29.wav']","['fireworks', 'can_opening', 'coughing', 'drinking_sipping']"
161,Which sound event occurs third?,TREA_dataset/order/audios/161.wav,laughing,Breathing,Laughing,Crying baby,A,"['ESC-50-master/audio/1-34497-A-14.wav', 'ESC-50-master/audio/3-96606-A-49.wav', 'ESC-50-master/audio/4-167571-A-26.wav']","['chirping_birds', 'hand_saw', 'laughing']"
162,Which sound event occurs third?,TREA_dataset/order/audios/162.wav,Washing machine,Door knock,chainsaw,Toilet flush,C,"['ESC-50-master/audio/4-177835-A-24.wav', 'ESC-50-master/audio/1-54084-A-42.wav', 'ESC-50-master/audio/2-50667-A-41.wav', 'ESC-50-master/audio/5-213836-A-9.wav']","['coughing', 'siren', 'chainsaw', 'crow']"
163,Which sound event occurs fourth?,TREA_dataset/order/audios/163.wav,Chainsaw,Fireworks,Crying baby,door_wood_creaks,D,"['ESC-50-master/audio/4-184434-A-21.wav', 'ESC-50-master/audio/1-18074-A-6.wav', 'ESC-50-master/audio/2-110417-B-28.wav', 'ESC-50-master/audio/4-107122-A-33.wav']","['sneezing', 'hen', 'snoring', 'door_wood_creaks']"
164,Which sound event occurs first?,TREA_dataset/order/audios/164.wav,Crow,Sneezing,crow,Pouring water,C,"['ESC-50-master/audio/3-127890-B-9.wav', 'ESC-50-master/audio/5-237499-A-4.wav', 'ESC-50-master/audio/4-182039-A-30.wav', 'ESC-50-master/audio/1-51036-A-16.wav']","['crow', 'frog', 'door_wood_knock', 'wind']"
165,Which sound event occurs third?,TREA_dataset/order/audios/165.wav,Car horn,Toilet flush,Water drops,coughing,D,"['ESC-50-master/audio/3-155234-A-43.wav', 'ESC-50-master/audio/4-264453-A-34.wav', 'ESC-50-master/audio/5-204604-A-24.wav']","['car_horn', 'can_opening', 'coughing']"
166,Which sound event occurs second?,TREA_dataset/order/audios/166.wav,Helicopter,Crackling fire,frog,Clock tick,C,"['ESC-50-master/audio/2-250710-A-39.wav', 'ESC-50-master/audio/3-70962-B-4.wav']","['glass_breaking', 'frog']"
167,Which sound event occurs after airplane sound?,TREA_dataset/order/audios/167.wav,Water drops,cat,Brushing teeth,Laughing,B,"['ESC-50-master/audio/4-161103-A-47.wav', 'ESC-50-master/audio/1-56380-B-5.wav']","['airplane', 'cat']"
168,Which sound event occurs first?,TREA_dataset/order/audios/168.wav,Pouring water,Sheep,train,Crying baby,C,"['ESC-50-master/audio/3-138212-A-45.wav', 'ESC-50-master/audio/1-18074-B-6.wav', 'ESC-50-master/audio/1-27405-A-28.wav', 'ESC-50-master/audio/3-143929-A-10.wav']","['train', 'hen', 'snoring', 'rain']"
169,Which sound event occurs second?,TREA_dataset/order/audios/169.wav,Laughing,clapping,Train,Door knock,B,"['ESC-50-master/audio/3-98771-A-18.wav', 'ESC-50-master/audio/4-189832-B-22.wav']","['toilet_flush', 'clapping']"
170,Which sound event occurs first?,TREA_dataset/order/audios/170.wav,Helicopter,water_drops,Sneezing,Chainsaw,B,"['ESC-50-master/audio/4-188293-A-15.wav', 'ESC-50-master/audio/5-181458-A-33.wav']","['water_drops', 'door_wood_creaks']"
171,Which sound event occurs first?,TREA_dataset/order/audios/171.wav,Water drops,sea_waves,Church bells,Pouring water,B,"['ESC-50-master/audio/4-167063-A-11.wav', 'ESC-50-master/audio/5-203739-A-10.wav', 'ESC-50-master/audio/2-83934-B-5.wav', 'ESC-50-master/audio/4-212698-A-39.wav']","['sea_waves', 'rain', 'cat', 'glass_breaking']"
172,Which sound event occurs second?,TREA_dataset/order/audios/172.wav,"Door, wood creaks",chirping_birds,Coughing,Water drops,B,"['ESC-50-master/audio/3-112397-A-9.wav', 'ESC-50-master/audio/4-216211-A-14.wav', 'ESC-50-master/audio/3-133977-A-29.wav', 'ESC-50-master/audio/1-172649-A-40.wav']","['crow', 'chirping_birds', 'drinking_sipping', 'helicopter']"
173,Which sound event occurs first?,TREA_dataset/order/audios/173.wav,Door knock,Chirping birds,Brushing teeth,toilet_flush,D,"['ESC-50-master/audio/2-67422-A-18.wav', 'ESC-50-master/audio/1-254507-A-43.wav', 'ESC-50-master/audio/4-212728-A-34.wav']","['toilet_flush', 'car_horn', 'can_opening']"
174,Which sound event occurs third?,TREA_dataset/order/audios/174.wav,helicopter,Brushing teeth,Coughing,Crickets,A,"['ESC-50-master/audio/4-189332-A-37.wav', 'ESC-50-master/audio/3-103050-A-19.wav', 'ESC-50-master/audio/4-175000-C-40.wav']","['clock_alarm', 'thunderstorm', 'helicopter']"
175,Which sound event occurs second?,TREA_dataset/order/audios/175.wav,Crackling fire,Breathing,coughing,Wind,C,"['ESC-50-master/audio/1-46272-A-12.wav', 'ESC-50-master/audio/2-98676-A-24.wav', 'ESC-50-master/audio/4-182034-A-30.wav']","['crackling_fire', 'coughing', 'door_wood_knock']"
176,Which sound event occurs after vacuum_cleaner sound?,TREA_dataset/order/audios/176.wav,Breathing,Fireworks,Snoring,toilet_flush,D,"['ESC-50-master/audio/3-149465-A-22.wav', 'ESC-50-master/audio/1-100210-B-36.wav', 'ESC-50-master/audio/4-123680-A-18.wav', 'ESC-50-master/audio/3-119455-A-44.wav']","['clapping', 'vacuum_cleaner', 'toilet_flush', 'engine']"
